key,group,candidate_stroke_count,template_stroke_count,Stroke_Difference,Normalized_Stroke_Difference,Stroke_Ratio,Stroke_Similarity
SLD12_513_54,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_856_136,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1341_506,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1548_159,D_RandomBG,10.0,2.0,8.0,4.0,5.0,0.1111111111111111
SLD7_476_67,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_976_104,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1531_219,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_570_435,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_531_60,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_600_219,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_503_178,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_649_71,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1555_72,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_400_113,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_481_171,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1513_112,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD12_758_55,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_724_270,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_1435_101,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_232_650,D_RandomBG,9.0,2.0,7.0,3.5,4.5,0.125
SLD10_856_121,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1265_121,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1267_40,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_505_34,D_RandomBG,14.0,2.0,12.0,6.0,7.0,0.07692307692307693
SLD2_188_73,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_770_506,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_168_142,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_630_406,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_361_506,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
